stfips,State,County_Name,cat_RUCC,sociod_EQI_2Jan2018_VC,RUCC1_sociod_EQI_2Jan2018_VC,RUCC2_sociod_EQI_2Jan2018_VC,RUCC3_sociod_EQI_2Jan2018_VC,RUCC4_sociod_EQI_2Jan2018_VC,built_EQI_2Jan2018_VC,RUCC1_built_EQI_2Jan2018_VC,RUCC2_built_EQI_2Jan2018_VC,RUCC3_built_EQI_2Jan2018_VC,RUCC4_built_EQI_2Jan2018_VC,air_EQI_2Jan2018_VC,RUCC1_air_EQI_2Jan2018_VC,RUCC2_air_EQI_2Jan2018_VC,RUCC3_air_EQI_2Jan2018_VC,RUCC4_air_EQI_2Jan2018_VC,land_EQI_2Jan2018_VC,RUCC1_land_EQI_2Jan2018_VC,RUCC2_land_EQI_2Jan2018_VC,RUCC3_land_EQI_2Jan2018_VC,RUCC4_land_EQI_2Jan2018_VC,water_EQI_2Jan2018_VC,RUCC1_water_EQI_2Jan2018_VC,RUCC2_water_EQI_2Jan2018_VC,RUCC3_water_EQI_2Jan2018_VC,RUCC4_water_EQI_2Jan2018_VC,EQI_2Jan2018_VC,RUCC1_EQI_2Jan2018_VC,RUCC2_EQI_2Jan2018_VC,RUCC3_EQI_2Jan2018_VC,RUCC4_EQI_2Jan2018_VC,sociod_EQI_2Jan2018_VC_4,RUCC1_sociod_EQI_2Jan2018_VC_4,RUCC2_sociod_EQI_2Jan2018_VC_4,RUCC3_sociod_EQI_2Jan2018_VC_4,RUCC4_sociod_EQI_2Jan2018_VC_4,air_EQI_2Jan2018_VC_4,RUCC1_air_EQI_2Jan2018_VC_4,RUCC2_air_EQI_2Jan2018_VC_4,RUCC3_air_EQI_2Jan2018_VC_4,RUCC4_air_EQI_2Jan2018_VC_4,water_EQI_2Jan2018_VC_4,RUCC1_water_EQI_2Jan2018_VC_4,RUCC2_water_EQI_2Jan2018_VC_4,RUCC3_water_EQI_2Jan2018_VC_4,RUCC4_water_EQI_2Jan2018_VC_4,land_EQI_2Jan2018_VC_4,RUCC1_land_EQI_2Jan2018_VC_4,RUCC2_land_EQI_2Jan2018_VC_4,RUCC3_land_EQI_2Jan2018_VC_4,RUCC4_land_EQI_2Jan2018_VC_4,built_EQI_2Jan2018_VC_4,RUCC1_built_EQI_2Jan2018_VC_4,RUCC2_built_EQI_2Jan2018_VC_4,RUCC3_built_EQI_2Jan2018_VC_4,RUCC4_built_EQI_2Jan2018_VC_4,EQI_2Jan2018_VC_4,RUCC1_EQI_2Jan2018_VC_4,RUCC2_EQI_2Jan2018_VC_4,RUCC3_EQI_2Jan2018_VC_4,RUCC4_EQI_2Jan2018_VC_4,sociod_EQI_2Jan2018_VC_3,RUCC1_sociod_EQI_2Jan2018_VC_3,RUCC2_sociod_EQI_2Jan2018_VC_3,RUCC3_sociod_EQI_2Jan2018_VC_3,RUCC4_sociod_EQI_2Jan2018_VC_3,air_EQI_2Jan2018_VC_3,RUCC1_air_EQI_2Jan2018_VC_3,RUCC2_air_EQI_2Jan2018_VC_3,RUCC3_air_EQI_2Jan2018_VC_3,RUCC4_air_EQI_2Jan2018_VC_3,water_EQI_2Jan2018_VC_3,RUCC1_water_EQI_2Jan2018_VC_3,RUCC2_water_EQI_2Jan2018_VC_3,RUCC3_water_EQI_2Jan2018_VC_3,RUCC4_water_EQI_2Jan2018_VC_3,land_EQI_2Jan2018_VC_3,RUCC1_land_EQI_2Jan2018_VC_3,RUCC2_land_EQI_2Jan2018_VC_3,RUCC3_land_EQI_2Jan2018_VC_3,RUCC4_land_EQI_2Jan2018_VC_3,built_EQI_2Jan2018_VC_3,RUCC1_built_EQI_2Jan2018_VC_3,RUCC2_built_EQI_2Jan2018_VC_3,RUCC3_built_EQI_2Jan2018_VC_3,RUCC4_built_EQI_2Jan2018_VC_3,EQI_2Jan2018_VC_3,RUCC1_EQI_2Jan2018_VC_3,RUCC2_EQI_2Jan2018_VC_3,RUCC3_EQI_2Jan2018_VC_3,RUCC4_EQI_2Jan2018_VC_3,sociod_EQI_2Jan2018_VC_5,RUCC1_sociod_EQI_2Jan2018_VC_5,RUCC2_sociod_EQI_2Jan2018_VC_5,RUCC3_sociod_EQI_2Jan2018_VC_5,RUCC4_sociod_EQI_2Jan2018_VC_5,air_EQI_2Jan2018_VC_5,RUCC1_air_EQI_2Jan2018_VC_5,RUCC2_air_EQI_2Jan2018_VC_5,RUCC3_air_EQI_2Jan2018_VC_5,RUCC4_air_EQI_2Jan2018_VC_5,water_EQI_2Jan2018_VC_5,RUCC1_water_EQI_2Jan2018_VC_5,RUCC2_water_EQI_2Jan2018_VC_5,RUCC3_water_EQI_2Jan2018_VC_5,RUCC4_water_EQI_2Jan2018_VC_5,land_EQI_2Jan2018_VC_5,RUCC1_land_EQI_2Jan2018_VC_5,RUCC2_land_EQI_2Jan2018_VC_5,RUCC3_land_EQI_2Jan2018_VC_5,RUCC4_land_EQI_2Jan2018_VC_5,built_EQI_2Jan2018_VC_5,RUCC1_built_EQI_2Jan2018_VC_5,RUCC2_built_EQI_2Jan2018_VC_5,RUCC3_built_EQI_2Jan2018_VC_5,RUCC4_built_EQI_2Jan2018_VC_5,EQI_2Jan2018_VC_5,RUCC1_EQI_2Jan2018_VC_5,RUCC2_EQI_2Jan2018_VC_5,RUCC3_EQI_2Jan2018_VC_5,RUCC4_EQI_2Jan2018_VC_5
1001,AL,Autauga County,1,-0.525909543,0.225516051,,,,1.31299293,1.23954618,,,,-0.366158217,-0.620936155,,,,-0.018733162,-0.08367236,,,,-1.428258181,-1.444195628,,,,0.284681678,0.920560777,,,,1,3,,,,2,1,,,,1,1,,,,2,2,,,,4,4,,,,3,4,,,,1,2,,,,1,1,,,,1,1,,,,2,2,,,,3,3,,,,2,3,,,,2,3,,,,2,2,,,,1,1,,,,3,2,,,,5,5,,,,3,5,,,
1003,AL,Baldwin County,1,-0.702319086,0.185723156,,,,0.3186979,-0.289549738,,,,0.713883579,0.509944558,,,,0.401319623,0.381730199,,,,-0.084552139,-0.151325405,,,,0.754969418,-0.02349562,,,,1,3,,,,4,3,,,,2,2,,,,3,3,,,,3,2,,,,4,2,,,,1,2,,,,3,3,,,,2,2,,,,2,2,,,,2,2,,,,3,2,,,,2,3,,,,4,4,,,,2,2,,,,4,4,,,,4,3,,,,4,3,,,
1005,AL,Barbour County,3,0.690728128,,,0.725353658,,0.117606871,,,0.431463122,,0.573405206,,,0.627688289,,-0.138942406,,,-0.200249642,,-1.4241153,,,-1.609440088,,-0.005637936,,,0.919208407,,3,,,4,,3,,,3,,1,,,1,,2,,,2,,3,,,3,,2,,,4,,3,,,3,,3,,,3,,1,,,1,,2,,,2,,2,,,2,,2,,,3,,4,,,4,,4,,,4,,1,,,1,,2,,,2,,3,,,4,,3,,,5,
1007,AL,Bibb County,1,0.812095702,1.435620427,,,,1.747703195,1.764355659,,,,0.122386821,-0.108812414,,,,-1.236887336,-0.936878622,,,,-1.424622178,-1.438000321,,,,0.304039747,1.634843111,,,,4,4,,,,3,2,,,,1,1,,,,1,1,,,,4,4,,,,3,4,,,,3,3,,,,2,2,,,,1,1,,,,1,1,,,,3,3,,,,2,3,,,,5,5,,,,3,3,,,,1,1,,,,1,1,,,,5,5,,,,3,5,,,
1009,AL,Blount County,1,0.431407839,1.084401727,,,,2.393971682,2.345885992,,,,0.224432126,-0.007736236,,,,0.245167181,0.411955625,,,,-1.407843232,-1.42102325,,,,1.141660571,1.987960339,,,,3,4,,,,3,2,,,,1,1,,,,3,3,,,,4,4,,,,4,4,,,,2,3,,,,2,2,,,,1,1,,,,2,2,,,,3,3,,,,3,3,,,,4,5,,,,3,3,,,,1,1,,,,3,4,,,,5,5,,,,5,5,,,
1011,AL,Bullock County,3,0.924293756,,,1.553816199,,0.702077329,,,1.111994505,,0.413131952,,,0.461356133,,-0.44311437,,,-0.421124786,,-1.424716949,,,-1.603551388,,0.104423791,,,1.514754295,,4,,,4,,3,,,3,,1,,,1,,2,,,2,,4,,,4,,2,,,4,,3,,,3,,2,,,3,,1,,,1,,1,,,1,,3,,,3,,2,,,3,,5,,,5,,4,,,4,,1,,,1,,2,,,2,,4,,,5,,3,,,5,
1013,AL,Butler County,3,0.819170475,,,1.003846288,,0.353290945,,,0.658333182,,-0.229969397,,,-0.24597241,,0.082912274,,,0.101459637,,-1.43142581,,,-1.611809611,,-0.298002362,,,0.869349182,,4,,,4,,2,,,2,,1,,,1,,2,,,2,,3,,,3,,2,,,4,,3,,,3,,2,,,2,,1,,,1,,2,,,2,,2,,,3,,2,,,3,,5,,,5,,2,,,2,,1,,,1,,3,,,3,,4,,,4,,2,,,4,
1015,AL,Calhoun County,1,0.08986073,0.804249704,,,,0.315730959,-0.049766123,,,,-0.250055522,-0.507368743,,,,0.016947431,0.153464466,,,,-1.419918537,-1.435014606,,,,-0.248880327,0.583466649,,,,2,4,,,,2,2,,,,1,1,,,,2,2,,,,3,3,,,,2,3,,,,2,3,,,,2,1,,,,1,1,,,,2,2,,,,2,2,,,,2,3,,,,3,4,,,,2,2,,,,1,1,,,,3,3,,,,4,3,,,,2,4,,,
1017,AL,Chambers County,3,0.677756667,,,0.884193361,,0.412296176,,,0.841698349,,0.887424469,,,0.982573628,,-0.386748105,,,-0.398287624,,-1.4113276,,,-1.599662781,,0.269483507,,,1.290441394,,3,,,4,,4,,,4,,1,,,1,,2,,,2,,3,,,4,,3,,,4,,3,,,3,,3,,,3,,1,,,1,,1,,,1,,2,,,3,,2,,,3,,4,,,5,,5,,,5,,1,,,1,,2,,,2,,4,,,4,,3,,,5,
1019,AL,Cherokee County,3,0.825951397,,,0.420819879,,0.358172804,,,0.885525048,,0.451381773,,,0.51169461,,0.518076897,,,0.34615317,,-1.415982485,,,-1.590718031,,0.206555888,,,1.040757656,,4,,,3,,3,,,3,,1,,,1,,3,,,3,,3,,,4,,3,,,4,,3,,,3,,3,,,3,,1,,,1,,2,,,2,,2,,,3,,2,,,3,,5,,,4,,4,,,4,,1,,,1,,4,,,3,,4,,,5,,3,,,5,
1021,AL,Chilton County,1,0.486086309,1.121717572,,,,1.351551056,1.188000083,,,,0.29326272,0.068473332,,,,-0.350253999,-0.311813831,,,,-1.418786168,-1.433956027,,,,0.463772893,1.260635734,,,,3,4,,,,3,2,,,,1,1,,,,2,2,,,,4,4,,,,3,4,,,,2,3,,,,2,2,,,,1,1,,,,1,1,,,,3,3,,,,2,3,,,,4,5,,,,3,3,,,,1,1,,,,2,2,,,,5,5,,,,4,5,,,
