stfips,State,County_Name,cat_RUCC,pm10,pm25,o3,so2,nox,co,a_edb,a_formaldehyde,a_teca,a_112tca,a_dbcp,a_dcl_propene,a_acrylic_acid,a_benzidine,a_benzyl_cl,a_be,a_dehp,a_ccl4,a_cyls,a_cl,a_c6h5cl,a_chloroform,a_chloroprene,a_cr,a_co,a_cn,a_dbp,a_etcl,a_ebenzine,a_edc,a_glycol_ethers,a_n2h2,a_hcl,a_isophorone,a_mn,a_mebr,a_mecl2,a_ph3,a_pcbs,a_procl2,a_quinolin,a_c2hcl3,a_vycl,al_pwn_gm_env_rate,civic_env_rate,ed_env_rate,hc_env_rate,neg_food_rate,pos_food_rate,rec_env_rate,ss_env_rate,fatalities,total_units,SecondaryRoadProportion,CommuteTime,PubTrans,sum_NWIBG,NINDEX_open,FARMS_PER_ACRE,PCT_IRRIGATED_ACRES,pct_nematode_acres,pct_manure_acres,pct_disease_acres,pct_defoliate_acres,pct_harvested_acres,pct_au,fungicide,herbicide,insecticide,std_coal_prim_pop,std_metal_prim_pop,std_nonmetal_prim_pop,std_sandandgravel_prim_pop,std_stone_prim_pop,Radon,Facilities_Rate,Pct_BS,Pct_Unemp_total,Pct_Fam_Pov,Pct_Vacant_Housing,Med_HH_Value,HH_Inc,Occs_Room,Pct_RenterOcc,ViolAv,num_CreatClass,DEMO2008,GINI_est,Per_TotPopSS,Per_PSWithSW,D303_Percent,ALLNPDESperKM,CaAve,Kave,NO3Ave,ClAve,SO4Ave,HgAve,AvgOfD3_ave,W_As,W_Ba,W_Cd,W_Cr,W_CN,W_FL,W_HG,W_NO3,W_NO2,W_SE,W_SB,W_ENDRIN,W_METHOXYCHLOR,W_DALAPON,W_DEHA,W_SIMAZINE,W_DEHP,W_PICLORAM,W_DINOSEB,W_ATRAZINE,W_24D,W_BENZOAP,W_PCP,W_PCB,W_DBCP,W_EDB,W_XYLENES,W_CHLORDANE,W_DCM,W_PDCB,W_111TRICHLORANE,W_TRICHLORENE,W_C2CL4,W_BENZENE,W_TOLUENE,W_ETHYLBENZ,W_STRYENE,W_ALPHA,W_DCE,Coliform_Proportion_ln
1001,AL,Autauga County,1,23.64206896,11.55536931,0.046102995,2.1317563,5.7767062,0.46792272,0.000165,0.900928497,0.003900245,1.43E-07,1.95E-06,1.67E-05,1.05E-08,1.48E-08,1.01E-06,2.73E-05,0.007806055,0.91107178,0.008384151,9.90E-08,5.97E-05,0.08929389,2.88E-06,0.00036384,8.58E-07,0.03060778,7.90E-08,0.000788904,0.040607821,0.0027,0.001097536,1.95E-07,0.020450303,1.29E-05,0.00087702,0.052499998,0.20060436,1.57E-07,1.55E-06,0.000691423,1.32E-06,0.007537862,8.26E-07,0.000256546,0.002858661,0.000787964,0.002052373,0.000842938,0.001282733,0.000714665,0.001172784,12.600001,0.00334318,0.103671715,25.1,0.29999998,5.8392725,79.554802,0.000736015,0.30413193,0.009583524,0.004713125,0.001004135,0.003582816,0.048755735,5.27E-06,3553.4417,23205.75,2647.1333,6.25E-07,2.44E-07,2.86E-07,0.00031172,3.06E-07,2,0.000201572,14.7,6.2,7.5,8.4,133900,19717.996,0.19999999,22.5,355.35995,0.23529,25.8,0.405,11.634385,0,0.022038816,48.772991,0.096805342,0.29239771,0.586108009,0.31756571,1.0809606,12.76618448,16.5603984,0.001,0.01,0.001,0.001,0.001,0.02,0.001,0.01,0.01,0.001,0.001,0.01,0.01,0.079999998,0.059999999,0.050000001,0.079999998,0.039999999,0.079999998,0.029999999,0.090000004,0.01,0.01,0.059999999,0.01,0.01,0.1,0.02,0.1,0.02,0.01,0.02,0.01,0.11,0.07,0.050000001,0.1,0,0.02,-3.581732838
1003,AL,Baldwin County,1,24.30340783,10.17969369,0.044333453,1.5852884,5.596725,0.44796419,0.000598734,2.804752369,0.004093739,0.000504035,1.95E-06,1.57E-07,3.00E-15,1.48E-08,1.97E-06,3.43E-05,0.008245755,0.91121113,0.000292886,4.14E-05,0.000546584,0.097686514,5.53E-06,0.000732045,3.14E-06,0.055891331,0.000115381,0.028056854,0.099488564,0.003985798,0.000415815,1.95E-07,0.060938418,1.02E-09,0.00107545,0.052530877,0.59695983,2.39E-06,0.00015885,0.000736805,4.33E-05,0.039196689,5.01E-06,0.000455381,0.002907853,0.000822978,0.004169753,0.0014649,0.002814584,0.001870902,0.001080844,32.799999,0.00338283,0.130742689,25.8,0.29999998,6.6460552,80.926163,0.000772523,0.99848151,0.005186521,0.001726875,0.02320322,0.009816748,0.080989145,1.04E-05,53925.801,52755.34,26694.199,6.25E-07,2.44E-07,1.67E-05,8.80E-05,5.79E-06,3,0.000224947,18.1,6.6,9.1,31.3,177200,69476.023,0.5,23.3,348.90002,0.2568,23.8,0.439,15.802266,0,11.999997,153.22606,0.09988673,0.24344993,0.566809624,0.6882956,1.0642017,15.12478762,2.500961538,0.003,0.1,0.002,0.011,0.101,0.12,0.001,1.12,0.059999999,0.006,0.004,0.01,0.01,0.079999998,0.059999999,0.050000001,0.67000002,0.039999999,0.28,0.029999999,0.090000004,0.01,0.01,0.059999999,0.029999999,0.029999999,2.0799999,0.02,0.1,0.02,0.01,0.02,0.50999999,3.3599999,0.07,0.050000001,0.1,2.68,2.0799999,-2.366356015
1005,AL,Barbour County,3,22.15931607,12.59618718,0.044735158,1.6105434,2.994755,0.46476367,0.00044647,2.14518972,0.004061902,1.21E-06,1.95E-06,1.49E-07,0.00024422,1.45E-07,1.11E-05,4.60E-05,0.008403798,0.91104478,5.15E-05,0.001743059,9.71E-05,0.096401803,2.15E-06,0.000363095,1.92E-06,0.021035222,2.56E-05,0.000900375,0.071412809,0.005964106,0.000522343,2.03E-06,0.030534847,4.43E-05,0.001102165,0.05250385,0.25948995,8.46E-07,5.24E-05,0.000801973,1.79E-05,0.021278879,0.000157122,0.000437047,0.004625415,0.001019776,0.002731544,0.001638926,0.002403759,0.001165459,0.001311141,4.4000001,0.02923755,0.16667901,23.8,0.29999998,5.3702745,86.371407,0.000701043,0.49178967,0.000692214,0.016840925,0.000672789,0.005809651,0.040279076,0.000208418,10534.616,22146.232,4580.1333,6.25E-07,7.31E-05,0.000510174,7.30E-05,3.06E-07,2,0.000655571,7.5,9.6,19.9,18.4,88200,9795.0029,0.39999998,32,218.65257,0.15413,49,0.464,6.9271953,0,4.0985122,34.67672,0.079432264,0.26822677,0.535949319,0.34100798,0.95237803,12.2814076,11.97136212,0.001,0.01,0.001,0.001,0.001,0.02,0.001,0.01,0.01,0.001,0.001,0.01,0.01,0.079999998,0.059999999,0.050000001,0.079999998,0.039999999,0.079999998,0.029999999,0.090000004,0.01,0.01,0.059999999,0.01,0.01,0.1,0.02,0.1,0.02,0.01,0.02,0.01,0.11,0.07,0.050000001,0.1,0,0.02,-4.0582054
1007,AL,Bibb County,1,25.46628816,12.92269109,0.044393499,2.1613019,2.9974823,0.46245512,0.000477441,2.621938789,0.004090899,3.84E-06,2.10E-06,6.46E-07,3.00E-15,1.48E-08,5.21E-07,2.86E-05,0.008145355,0.91102475,5.76E-05,0.000369046,0.000308548,0.090222552,1.36E-06,8.77E-05,6.43E-06,0.014966471,8.04E-05,0.000481634,0.047230516,0.003445554,0.00019839,2.04E-07,0.033685997,2.29E-06,0.002687225,0.052510351,0.17554915,2.51E-05,5.23E-05,0.000726599,1.48E-05,0.025794271,1.94E-06,0.000261837,0.003054767,0.000872791,0.001658302,0.001003709,0.001265547,0.000610953,0.000480035,6,0.003361183,0.116813099,28.3,0.5,5.1369219,93.554344,0.000333795,0.041159697,0.004346288,0.000316227,0.007610762,0.005890395,0.013482309,1.44E-06,288.08334,1882.9584,130.59166,0.001484369,8.75E-05,0.000262123,4.38E-05,0.000131224,2,0.000305477,7.5,9.1,9.4,16.3,81200,7441.0005,1,17.1,803.30847,0.14484,26.6,0.411,7.1394283,0,2.5048964,25.826935,0.10340504,0.28748077,0.584620698,0.31048676,1.0765123,12.71913418,18.58529536,0.001,0.01,0.001,0.001,0.001,0.02,0.001,0.01,0.01,0.001,0.001,0.01,0.01,0.079999998,0.059999999,0.050000001,0.079999998,0.039999999,0.079999998,0.029999999,0.090000004,0.01,0.01,0.059999999,0.01,0.01,0.1,0.02,0.1,0.02,0.01,0.02,0.01,0.11,0.07,0.050000001,0.1,0,0.02,-6.907755279
1009,AL,Blount County,1,27.01347074,12.27702508,0.047093259,2.1552858,2.9835808,0.51024956,0.000657153,2.848096979,0.004131779,1.07E-07,1.95E-06,1.35E-07,3.00E-15,1.48E-08,6.31E-06,3.60E-05,0.008206283,0.9109773,0.000551309,0.000158247,2.80E-05,0.09181571,8.03E-07,0.000153088,1.08E-06,0.009866361,1.07E-05,0.000433772,0.024916688,0.003853564,0.002699869,2.25E-07,0.034591381,3.99E-05,0.002393295,0.052502681,0.1772342,8.43E-07,2.45E-05,0.000740372,6.34E-05,0.02863132,8.39E-05,0.000104672,0.002477234,0.000610586,0.001256062,0.000750148,0.001570078,0.000645476,0.000540805,13.599999,0.004311696,0.120562988,33.2,0.099999994,4.7317805,66.542656,0.002215178,0.13766094,0.009917402,0.048724208,0.002905906,0.009044906,0.069082513,6.31E-05,4541.1333,23199.416,2574.6416,0.001710265,2.44E-07,7.01E-05,5.25E-05,0.000366657,2,0.000104672,8.4,7.5,10,12.3,113700,20604.99,0.5,18,546.4704,0.16918,14.5,0.422,22.431178,95.531954,8.8008614,63.236141,0.099422865,0.30230066,0.612717673,0.25301322,1.1685752,12.15958565,21.66584978,0.001,0.01,0.001,0.001,0.001,0.02,0.001,0.01,0.01,0.001,0.001,0.01,0.01,0.079999998,0.059999999,0.050000001,0.079999998,0.039999999,0.079999998,0.029999999,0.090000004,0.01,0.01,0.059999999,0.01,0.01,0.1,0.02,0.1,0.02,0.01,0.02,0.01,0.11,0.07,0.050000001,0.1,0,0.02,-4.357764554
1011,AL,Bullock County,3,22.31010434,13.48153611,0.045507587,1.6968322,2.9924459,0.46538958,0.000802365,2.621197157,0.004234245,7.81E-07,1.95E-06,5.00E-16,6.12E-08,3.33E-08,8.58E-06,5.04E-05,0.00823862,0.91102648,0.001561849,4.09E-05,6.43E-05,0.091029078,1.76E-06,0.000121647,3.43E-06,0.022726992,1.77E-05,0.000887319,0.032450356,0.003673164,4.34E-05,1.66E-06,0.015898889,1.89E-05,0.001019882,0.052505016,0.18923053,2.28E-06,0.000070315,0.000754296,5.69E-05,0.040053401,0.000209023,0.000366502,0.004489645,0.001099506,0.002290636,0.001099506,0.002107385,0.000916255,0.001282756,6.4000001,1,0.269106329,28.1,1,4.8476415,84.743706,0.000474173,0.0003617,0.00617412,0.006191842,0.001359797,0.000996013,0.025668044,6.27E-05,2581.9583,11536.783,1453.2583,6.25E-07,2.44E-07,2.86E-07,2.00E-07,3.06E-07,2,0.000183251,8.3,11.2,22.6,17.9,66300,3732.0015,1,23.1,496.82394,0.14732,74.1,0.533,6.7619571,0,2.6744483,4.6532059,0.082687959,0.2913506,0.551824757,0.32407045,1.0058414,12.39952337,13.85411393,0.001,0.01,0.001,0.001,0.001,0.02,0.001,0.01,0.01,0.001,0.001,0.01,0.01,0.079999998,0.059999999,0.050000001,0.079999998,0.039999999,0.079999998,0.029999999,0.090000004,0.01,0.01,0.059999999,0.01,0.01,0.1,0.02,0.1,0.02,0.01,0.02,0.01,0.11,0.07,0.050000001,0.1,0,0.02,-2.520253013
1013,AL,Butler County,3,22.4320764,12.30876872,0.045117516,2.5541663,5.7158608,0.46730939,0.000523227,3.014928268,0.004094947,1.12E-06,2.01E-06,1.96E-06,2.97E-09,1.48E-08,1.44E-07,2.65E-05,0.008210956,0.91095549,0.000128964,5.62E-05,6.32E-05,0.088989913,3.64E-07,7.10E-05,6.80E-08,0.004264102,6.54E-06,0.000183066,0.012501214,0.003551513,5.30E-05,1.95E-07,0.003182069,2.22E-06,0.000905997,0.052510057,0.16924147,2.77E-06,1.05E-05,0.000728598,2.09E-05,0.023164889,1.44E-06,0.000286437,0.003819162,0.001145749,0.002673414,0.001527665,0.002673414,0.000859311,0.001336707,7.5999994,0.022477685,0.150960358,25.1,0.39999998,5.6235309,90.440231,0.00061146,0.014280799,0.007961708,0.012386081,0.013941712,0.010790265,0.029418448,6.10E-05,4014.0833,11040.833,2512.2917,6.25E-07,2.44E-07,2.86E-07,2.00E-07,3.06E-07,3,0.000334177,7.8,9.5,19.7,19.9,70200,8018.9976,0.29999998,31,535.52032,0.14551,43.1,0.463,15.983196,0,0.6916368,26.403168,0.095124505,0.26874089,0.55908703,0.42488325,1.004832,13.14057776,7.32978447,0.001,0.01,0.001,0.001,0.001,0.02,0.001,0.01,0.01,0.001,0.001,0.01,0.01,0.079999998,0.059999999,0.050000001,0.079999998,0.039999999,0.079999998,0.029999999,0.090000004,0.01,0.01,0.059999999,0.01,0.01,0.1,0.02,0.1,0.02,0.01,0.02,0.01,0.11,0.07,0.050000001,0.1,0,0.02,-6.907755279
1015,AL,Calhoun County,1,21.30837973,12.70099292,0.046143979,2.3743403,2.9586666,0.45688906,0.000473034,2.405135454,0.004058507,1.48E-07,1.95E-06,1.14E-07,3.00E-15,1.60E-08,4.77E-07,2.76E-05,0.008224279,0.91099912,1.49E-05,0.000106578,4.50E-05,0.088975266,1.35E-06,7.78E-05,3.81E-07,0.018627135,4.03E-05,0.000804448,0.03926399,0.004151006,7.24E-06,1.95E-07,0.012942182,5.40E-14,0.000989087,0.052506708,0.1813536,1.54E-06,7.17E-05,0.000736003,2.65E-05,0.022943702,2.08E-06,0.000421685,0.003516851,0.00093614,0.003567453,0.00148433,0.002226495,0.001028911,0.001340958,21.400002,0.014842001,0.135291109,22.1,0.29999998,5.9573517,78.335732,0.001170848,0.44590241,0.000412634,0.01241512,0.005044449,0.006772352,0.045304619,0.000116762,567.59998,13510.316,1332.0167,6.25E-07,2.44E-07,4.25E-05,4.24E-05,3.40E-05,1,0.000640961,9.7,11.7,15.2,12.6,98200,46421,0.19999999,29.3,2174.78,0.19141,33.2,0.453,5.2137098,10.600858,1.6410806,208.54279,0.092430726,0.2962445,0.586293821,0.24664502,1.1843411,11.81628991,21.34478374,0.001,0.01,0.001,0.001,0.001,0.02,0.001,0.01,0.01,0.001,0.001,0.01,0.01,0.079999998,0.059999999,0.050000001,0.079999998,0.039999999,0.079999998,0.029999999,0.090000004,0.01,0.01,0.059999999,0.01,0.01,0.1,0.02,0.1,0.02,0.01,0.02,0.01,0.11,0.07,0.050000001,0.1,0,0.02,-6.907755279
1017,AL,Chambers County,3,22.71162919,12.4599846,0.046203336,1.7725041,2.9699364,0.45779568,0.000806484,3.149892292,0.004264859,5.06E-06,1.95E-06,3.98E-06,3.00E-15,6.83E-07,3.20E-06,4.44E-05,0.008264602,0.91113538,8.67E-05,1.79E-05,0.000109521,0.096205078,3.88E-06,0.001973301,0.000573647,0.037660014,5.68E-05,0.001911282,0.15050207,0.003570224,0.002982609,8.63E-07,0.040930465,4.49E-05,0.001547127,0.052503288,0.25174254,3.15E-06,6.77E-05,0.000757691,3.87E-05,0.083549641,0.000189421,0.000292269,0.005260849,0.001081397,0.002542745,0.000993716,0.002016659,0.001110624,0.001169078,9,0.014132249,0.126444929,23.6,0.19999999,5.5652981,84.974419,0.000502914,0.088533834,0.006548354,0.002718879,0.011466795,0.008874789,0.021088339,5.53E-06,471.42499,4800.0918,201.55,6.25E-07,2.44E-07,2.86E-07,2.00E-07,3.06E-07,3,0.000438404,7.1,14.2,16.4,18.5,82200,13681.005,0.5,28.6,612.25134,0.16433,45.5,0.425,24.375274,100,1.9229194,28.780546,0.08051426,0.29355684,0.559920834,0.26555058,1.0810376,11.8787027,19.78603266,0.001,0.01,0.001,0.001,0.001,0.02,0.001,0.01,0.01,0.001,0.001,0.01,0.01,0.079999998,0.059999999,0.050000001,0.079999998,0.039999999,0.079999998,0.029999999,0.090000004,0.01,0.01,0.059999999,0.01,0.01,0.1,0.02,0.1,0.02,0.01,0.02,0.01,0.11,0.07,0.050000001,0.1,0,0.02,-6.907755279
1019,AL,Cherokee County,3,26.34731391,13.28413654,0.046514987,2.4658206,2.9494579,0.45626771,0.000675596,2.742015287,0.004160353,1.29E-07,1.97E-06,5.00E-16,6.59E-07,1.48E-08,2.16E-06,3.58E-05,0.008274539,0.91106606,0.000279718,8.31E-05,6.78E-05,0.092671186,2.52E-06,0.000260241,4.87E-07,0.030830583,8.01E-05,0.001183314,0.054908115,0.00344224,0.000351108,1.96E-07,0.51836216,0.000659118,0.00120269,0.052512839,0.21083739,2.18E-05,8.84E-05,0.00074059,2.57E-05,0.036093954,8.23E-06,0.0003463,0.003809304,0.00088499,0.002270191,0.001500635,0.002731926,0.001385202,0.001115857,7.5999994,1,0.120830678,26.2,1,3.9977164,73.080704,0.001306533,0.33552217,0.018700637,0.011950685,0.012371147,0.0370965,0.12529737,0.000130293,2468.9167,48197.992,6463.1665,0.000885615,2.44E-07,7.72E-05,3.87E-05,0.000115739,2,0.000192389,6.3,12.4,13.7,28.7,97100,11352.005,0.69999999,22.5,589.95874,0.19527,23.7,0.439,31.217053,27.507163,0.061490592,36.822807,0.093344003,0.28930286,0.595955893,0.23202658,1.2263211,11.49213472,21.08452104,0.001,0.01,0.001,0.001,0.001,0.02,0.001,0.01,0.01,0.001,0.001,0.01,0.01,0.079999998,0.059999999,0.050000001,0.079999998,0.039999999,0.079999998,0.029999999,0.090000004,0.01,0.01,0.059999999,0.01,0.01,0.1,0.02,0.1,0.02,0.01,0.02,0.01,0.11,0.07,0.050000001,0.1,0,0.02,-6.907755279
