FIPStxt,State,Area name,Attribute,Value
0,US,United States,Population 1990,248790925
0,US,United States,Population 2000,281424600
0,US,United States,Population 2010,308745538
0,US,United States,Population 2020,331449281
0,US,United States,Population 2021,331893745
1000,AL,Alabama,Population 1990,4040389
1000,AL,Alabama,Population 2000,4447207
1000,AL,Alabama,Population 2010,4779736
1000,AL,Alabama,Population 2020,5024279
1000,AL,Alabama,Population 2021,5039877
1001,AL,Autauga County,Rural-urban continuum code 2013,2
1001,AL,Autauga County,Population 1990,34222
1001,AL,Autauga County,Population 2000,43751
1001,AL,Autauga County,Population 2010,54571
1001,AL,Autauga County,Population 2020,58805
1001,AL,Autauga County,Population 2021,59095
1003,AL,Baldwin County,Rural-urban continuum code 2013,3
1003,AL,Baldwin County,Population 1990,98280
1003,AL,Baldwin County,Population 2000,140416
1003,AL,Baldwin County,Population 2010,182265
1003,AL,Baldwin County,Population 2020,231767
1003,AL,Baldwin County,Population 2021,239294
1005,AL,Barbour County,Rural-urban continuum code 2013,6
1005,AL,Barbour County,Population 1990,25417
1005,AL,Barbour County,Population 2000,29042
1005,AL,Barbour County,Population 2010,27457
1005,AL,Barbour County,Population 2020,25223
1005,AL,Barbour County,Population 2021,24964
1007,AL,Bibb County,Rural-urban continuum code 2013,1
1007,AL,Bibb County,Population 1990,16598
1007,AL,Bibb County,Population 2000,19856
1007,AL,Bibb County,Population 2010,22915
1007,AL,Bibb County,Population 2020,22293
1007,AL,Bibb County,Population 2021,22477
1009,AL,Blount County,Rural-urban continuum code 2013,1
1009,AL,Blount County,Population 1990,39248
1009,AL,Blount County,Population 2000,50982
1009,AL,Blount County,Population 2010,57322
1009,AL,Blount County,Population 2020,59134
1009,AL,Blount County,Population 2021,59041
1011,AL,Bullock County,Rural-urban continuum code 2013,6
1011,AL,Bullock County,Population 1990,11042
1011,AL,Bullock County,Population 2000,11603
1011,AL,Bullock County,Population 2010,10914
1011,AL,Bullock County,Population 2020,10357
1011,AL,Bullock County,Population 2021,10320
1013,AL,Butler County,Rural-urban continuum code 2013,6
1013,AL,Butler County,Population 1990,21892
1013,AL,Butler County,Population 2000,21394
1013,AL,Butler County,Population 2010,20947
1013,AL,Butler County,Population 2020,19051
1013,AL,Butler County,Population 2021,18884
1015,AL,Calhoun County,Rural-urban continuum code 2013,3
1015,AL,Calhoun County,Population 1990,116032
1015,AL,Calhoun County,Population 2000,111882
1015,AL,Calhoun County,Population 2010,118572
1015,AL,Calhoun County,Population 2020,116441
1015,AL,Calhoun County,Population 2021,115972
1017,AL,Chambers County,Rural-urban continuum code 2013,6
1017,AL,Chambers County,Population 1990,36876
1017,AL,Chambers County,Population 2000,36600
1017,AL,Chambers County,Population 2010,34215
