00000,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,,,,
00000,US,United States,,,,,38371394,38309115,38433673,11.9,11.9,11.9,11204423,11176652,11232194,15.7,15.7,15.7,7798566,7778138,7818994,14.9,14.9,14.9,67340,67251,67429,3146325,3133736,3158914,16.8,16.7,16.9
01000,AL,Alabama,,,,,714568,695249,733887,14.9,14.5,15.3,222934,213738,232130,20.9,20,21.8,152810,144819,160801,19.7,18.7,20.7,53958,53013,54903,66169,61541,70797,23.3,21.7,24.9
01001,AL,Autauga County,2,2,2,2,6242,4930,7554,11.2,8.8,13.6,1912,1327,2497,14.9,10.3,19.5,1378,926,1830,14.5,9.7,19.3,67565,59132,75998,,,,,,
01003,AL,Baldwin County,4,5,3,2,20189,15535,24843,8.9,6.8,11,5907,3802,8012,12.4,8,16.8,4192,2677,5707,11.8,7.5,16.1,71135,66540,75730,,,,,,
01005,AL,Barbour County,6,6,6,6,5548,4210,6886,25.5,19.3,31.7,1857,1291,2423,37.5,26.1,48.9,1303,888,1718,35.8,24.4,47.2,38866,33510,44222,,,,,,
01007,AL,Bibb County,1,1,1,1,3549,2712,4386,17.8,13.6,22,941,663,1219,21.9,15.4,28.4,681,481,881,22.1,15.6,28.6,50907,43627,58187,,,,,,
01009,AL,Blount County,1,1,1,1,7525,6034,9016,13.1,10.5,15.7,2456,1877,3035,18.9,14.4,23.4,1515,1069,1961,15.8,11.1,20.5,55203,47820,62586,,,,,,
01011,AL,Bullock County,6,6,6,6,2552,1914,3190,30.8,23.1,38.5,790,544,1036,38.7,26.7,50.7,547,367,727,37,24.8,49.2,33124,27881,38367,,,,,,
01013,AL,Butler County,6,6,6,6,3954,2966,4942,20.6,15.4,25.8,1306,887,1725,30.8,20.9,40.7,934,622,1246,29.8,19.9,39.7,42268,36478,48058,,,,,,
01015,AL,Calhoun County,3,2,3,2,15915,12764,19066,14.5,11.6,17.4,3963,2422,5504,16.7,10.2,23.2,2885,1730,4040,16.7,10,23.4,50259,45055,55463,,,,,,
01017,AL,Chambers County,6,5,6,5,5266,3925,6607,16.3,12.2,20.4,1731,1177,2285,26.2,17.8,34.6,1266,848,1684,26.1,17.5,34.7,39318,37495,41141,,,,,,
01019,AL,Cherokee County,8,6,6,6,3827,2854,4800,14.7,11,18.4,1115,753,1477,23.3,15.7,30.9,795,521,1069,22.2,14.6,29.8,50388,43387,57389,,,,,,
01021,AL,Chilton County,1,1,1,1,6094,4590,7598,13.9,10.5,17.3,2177,1478,2876,21,14.3,27.7,1504,987,2021,19.7,12.9,26.5,52693,45063,60323,,,,,,
